client_0;Accept
client_1;Reject
client_2;Reject
client_3;Reject
client_4;Reject
client_5;Reject
client_6;Accept
client_7;Accept
client_8;Accept
client_9;Reject
client_10;Accept
client_11;Accept
client_12;Accept
client_13;Accept
client_14;Reject
client_15;Accept
client_16;Reject
client_17;Reject
client_18;Reject
client_19;Reject
client_20;Accept
client_21;Accept
client_22;Reject
client_23;Accept
client_24;Accept
client_25;Accept
client_26;Reject
client_27;Accept
client_28;Accept
client_29;Accept
client_30;Reject
client_31;Reject
client_32;Reject
client_33;Reject
client_34;Reject
client_35;Accept
client_36;Accept
client_37;Reject
client_38;Accept
client_39;Accept
client_40;Reject
client_41;Accept
client_42;Reject
client_43;Reject
client_44;Accept
client_45;Accept
client_46;Reject
client_47;Reject
client_48;Reject
client_49;Reject
client_50;Reject
client_51;Accept
client_52;Reject
client_53;Reject
client_54;Accept
client_55;Reject
client_56;Accept
client_57;Accept
client_58;Accept
client_59;Reject
client_60;Accept
client_61;Reject
client_62;Accept
client_63;Reject
client_64;Accept
client_65;Reject
client_66;Accept
client_67;Reject
client_68;Reject
client_69;Reject
client_70;Reject
client_71;Accept
client_72;Accept
client_73;Reject
client_74;Reject
client_75;Accept
client_76;Accept
client_77;Reject
client_78;Reject
client_79;Accept
client_80;Accept
client_81;Accept
client_82;Accept
client_83;Accept
client_84;Accept
client_85;Accept
client_86;Reject
client_87;Accept
client_88;Reject
client_89;Reject
client_90;Accept
client_91;Reject
client_92;Accept
client_93;Reject
client_94;Accept
client_95;Accept
client_96;Accept
client_97;Accept
client_98;Accept
client_99;Reject
client_100;Accept
client_101;Accept
client_102;Accept
client_103;Reject
client_104;Reject
client_105;Reject
client_106;Accept
client_107;Reject
client_108;Reject
client_109;Reject
client_110;Reject
client_111;Accept
client_112;Accept
client_113;Reject
client_114;Reject
client_115;Reject
client_116;Reject
client_117;Reject
client_118;Accept
client_119;Reject
client_120;Accept
client_121;Accept
client_122;Accept
client_123;Reject
client_124;Accept
client_125;Accept
client_126;Reject
client_127;Accept
client_128;Accept
client_129;Accept
client_130;Accept
client_131;Reject
client_132;Accept
client_133;Reject
client_134;Reject
client_135;Accept
client_136;Accept
client_137;Reject
client_138;Reject
client_139;Accept
client_140;Accept
client_141;Reject
client_142;Accept
client_143;Accept
client_144;Accept
client_145;Reject
client_146;Reject
client_147;Accept
client_148;Reject
client_149;Reject
client_150;Reject
client_151;Reject
client_152;Accept
client_153;Reject
client_154;Accept
client_155;Reject
client_156;Accept
client_157;Accept
client_158;Accept
client_159;Accept
client_160;Reject
client_161;Accept
client_162;Reject
client_163;Reject
client_164;Accept
client_165;Reject
client_166;Accept
client_167;Accept
client_168;Reject
client_169;Accept
client_170;Reject
client_171;Accept
client_172;Reject
client_173;Reject
client_174;Accept
client_175;Accept
client_176;Reject
client_177;Accept
client_178;Accept
client_179;Accept
client_180;Reject
client_181;Reject
client_182;Accept
client_183;Accept
client_184;Accept
client_185;Accept
client_186;Accept
client_187;Accept
client_188;Accept
client_189;Accept
client_190;Accept
client_191;Accept
client_192;Accept
client_193;Accept
client_194;Accept
client_195;Reject
client_196;Reject
client_197;Accept
client_198;Accept
client_199;Reject
client_200;Reject
client_201;Reject
client_202;Accept
client_203;Accept
client_204;Accept
client_205;Accept
client_206;Reject
client_207;Accept
client_208;Accept
client_209;Accept
client_210;Accept
client_211;Reject
client_212;Reject
client_213;Accept
client_214;Accept
client_215;Accept
client_216;Reject
client_217;Accept
client_218;Reject
client_219;Reject
client_220;Reject
client_221;Reject
client_222;Accept
client_223;Accept
client_224;Accept
client_225;Reject
client_226;Accept
client_227;Accept
client_228;Accept
client_229;Accept
client_230;Accept
client_231;Accept
client_232;Accept
client_233;Reject
client_234;Accept
client_235;Reject
client_236;Accept
client_237;Accept
client_238;Reject
client_239;Reject
client_240;Reject
client_241;Accept
client_242;Accept
client_243;Accept
client_244;Accept
client_245;Reject
client_246;Reject
client_247;Reject
client_248;Accept
client_249;Reject
client_250;Reject
client_251;Accept
client_252;Accept
client_253;Accept
client_254;Accept
client_255;Reject
client_256;Reject
client_257;Accept
client_258;Reject
client_259;Accept
client_260;Accept
client_261;Reject
client_262;Reject
client_263;Accept
client_264;Accept
client_265;Accept
client_266;Reject
client_267;Reject
client_268;Reject
client_269;Reject
client_270;Reject
